min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,1918,9,16,29
0.1,1,5,1,1918,9,16,29
0.1,1,5,2,1918,9,16,29
0.1,1,5,3,1918,9,16,29
0.1,1,6,0,1669,9,15,29
0.1,1,6,1,1669,9,15,29
0.1,1,6,2,1669,9,15,29
0.1,1,6,3,1669,9,15,29
0.1,1,7,0,254,7,12,25
0.1,1,7,1,619,8,13,26
0.1,1,7,2,703,8,13,26
0.1,1,7,3,754,8,13,26
0.1,1,8,0,31,3,4,23
0.1,1,8,1,393,4,7,23
0.1,1,8,2,482,5,8,24
0.1,1,8,3,564,7,10,25
0.1,1,9,0,4,1,1,23
0.1,1,9,1,44,1,2,23
0.1,1,9,2,100,2,3,24
0.1,1,9,3,113,2,3,24
0.1,1,10,0,1,0,0,0
0.1,1,10,1,17,1,2,23
0.1,1,10,2,52,1,2,23
0.1,1,10,3,71,1,2,23
0.1,2,5,0,1682,9,15,29
0.1,2,5,1,1684,9,15,29
0.1,2,5,2,1684,9,15,29
0.1,2,5,3,1684,9,15,29
0.1,2,6,0,1669,9,15,29
0.1,2,6,1,1669,9,15,29
0.1,2,6,2,1669,9,15,29
0.1,2,6,3,1669,9,15,29
0.1,2,7,0,1156,8,11,27
0.1,2,7,1,1669,9,15,29
0.1,2,7,2,1669,9,15,29
0.1,2,7,3,1669,9,15,29
0.1,2,8,0,206,6,9,24
0.1,2,8,1,797,8,13,26
0.1,2,8,2,867,8,13,26
0.1,2,8,3,972,8,13,26
0.1,2,9,0,71,5,6,23
0.1,2,9,1,358,7,11,25
0.1,2,9,2,428,7,11,25
0.1,2,9,3,581,7,11,25
0.1,2,10,0,11,3,4,23
0.1,2,10,1,195,4,7,23
0.1,2,10,2,261,4,7,23
0.1,2,10,3,390,6,9,24
0.1,3,5,0,1754,9,15,29
0.1,3,5,1,1872,9,15,29
0.1,3,5,2,2571,9,15,29
0.1,3,5,3,2669,9,15,29
0.1,3,6,0,1680,9,15,29
0.1,3,6,1,1685,9,15,29
0.1,3,6,2,1718,9,15,29
0.1,3,6,3,1720,9,15,29
0.1,3,7,0,710,6,8,25
0.1,3,7,1,1253,6,10,25
0.1,3,7,2,1342,7,11,26
0.1,3,7,3,1394,8,12,27
0.1,3,8,0,339,5,7,25
0.1,3,8,1,1118,6,10,25
0.1,3,8,2,1218,7,11,26
0.1,3,8,3,1288,8,12,27
0.1,3,9,0,69,4,5,23
0.1,3,9,1,466,6,9,25
0.1,3,9,2,553,6,9,25
0.1,3,9,3,764,7,10,26
0.1,3,10,0,13,3,4,23
0.1,3,10,1,100,5,8,25
0.1,3,10,2,159,5,8,25
0.1,3,10,3,223,5,8,25
0.1,4,5,0,2051,9,18,29
0.1,4,5,1,5000,1,3,25
0.1,4,5,2,5000,0,0,0
0.1,4,5,3,5000,0,0,0
0.1,4,6,0,1683,9,15,29
0.1,4,6,1,1890,9,15,29
0.1,4,6,2,2224,9,15,29
0.1,4,6,3,2482,9,15,29
0.1,4,7,0,95,6,10,28
0.1,4,7,1,217,6,11,28
0.1,4,7,2,499,6,11,28
0.1,4,7,3,643,6,11,28
0.1,4,8,0,46,5,6,24
0.1,4,8,1,144,6,11,28
0.1,4,8,2,376,6,11,28
0.1,4,8,3,463,6,11,28
0.1,4,9,0,30,5,6,24
0.1,4,9,1,101,6,10,27
0.1,4,9,2,337,6,11,28
0.1,4,9,3,398,6,11,28
0.1,4,10,0,14,4,5,23
0.1,4,10,1,54,5,7,25
0.1,4,10,2,159,5,7,25
0.1,4,10,3,211,5,7,25
0.1,5,5,0,1776,10,19,29
0.1,5,5,1,1853,10,19,29
0.1,5,5,2,2103,10,19,29
0.1,5,5,3,2208,10,19,29
0.1,5,6,0,1702,10,19,29
0.1,5,6,1,1720,10,19,29
0.1,5,6,2,1764,10,19,29
0.1,5,6,3,1769,10,19,29
0.1,5,7,0,304,8,14,28
0.1,5,7,1,1063,10,19,29
0.1,5,7,2,1166,10,19,29
0.1,5,7,3,1367,10,19,29
0.1,5,8,0,75,8,12,27
0.1,5,8,1,438,10,17,28
0.1,5,8,2,665,10,18,29
0.1,5,8,3,778,10,18,29
0.1,5,9,0,24,4,6,26
0.1,5,9,1,178,6,10,26
0.1,5,9,2,288,6,11,27
0.1,5,9,3,408,8,13,28
0.1,5,10,0,9,3,4,25
0.1,5,10,1,78,5,7,25
0.1,5,10,2,119,5,7,25
0.1,5,10,3,164,5,7,25
0.2,1,5,0,1918,9,16,29
0.2,1,5,1,1918,9,16,29
0.2,1,5,2,1918,9,16,29
0.2,1,5,3,1918,9,16,29
0.2,1,6,0,1669,9,15,29
0.2,1,6,1,1669,9,15,29
0.2,1,6,2,1669,9,15,29
0.2,1,6,3,1669,9,15,29
0.2,1,7,0,254,7,12,25
0.2,1,7,1,619,8,13,26
0.2,1,7,2,703,8,13,26
0.2,1,7,3,754,8,13,26
0.2,1,8,0,31,3,4,23
0.2,1,8,1,393,4,7,23
0.2,1,8,2,482,5,8,24
0.2,1,8,3,564,7,10,25
0.2,1,9,0,12,3,4,23
0.2,1,9,1,146,4,6,23
0.2,1,9,2,206,4,6,23
0.2,1,9,3,324,6,8,24
0.2,1,10,0,1,0,0,0
0.2,1,10,1,17,1,2,23
0.2,1,10,2,52,1,2,23
0.2,1,10,3,71,1,2,23
0.2,2,5,0,2372,9,16,29
0.2,2,5,1,5000,1,3,25
0.2,2,5,2,5000,0,0,0
0.2,2,5,3,-1,0,0,0
0.2,2,6,0,1690,9,15,29
0.2,2,6,1,5000,7,12,27
0.2,2,6,2,5000,0,0,0
0.2,2,6,3,5000,0,0,0
0.2,2,7,0,63,4,7,28
0.2,2,7,1,119,5,9,28
0.2,2,7,2,340,5,9,28
0.2,2,7,3,476,6,10,28
0.2,2,8,0,39,4,6,27
0.2,2,8,1,58,4,7,27
0.2,2,8,2,140,4,7,27
0.2,2,8,3,142,4,7,27
0.2,2,9,0,15,2,2,25
0.2,2,9,1,23,2,3,25
0.2,2,9,2,60,2,3,25
0.2,2,9,3,60,2,3,25
0.2,2,10,0,9,2,2,25
0.2,2,10,1,20,2,3,25
0.2,2,10,2,60,2,3,25
0.2,2,10,3,60,2,3,25
0.2,3,5,0,1933,10,20,29
0.2,3,5,1,1943,10,20,29
0.2,3,5,2,1970,10,20,29
0.2,3,5,3,1987,10,20,29
0.2,3,6,0,1681,10,19,29
0.2,3,6,1,1683,10,19,29
0.2,3,6,2,1684,10,19,29
0.2,3,6,3,1684,10,19,29
0.2,3,7,0,77,8,14,28
0.2,3,7,1,116,8,15,28
0.2,3,7,2,274,8,15,28
0.2,3,7,3,279,8,15,28
0.2,3,8,0,49,7,11,27
0.2,3,8,1,69,7,12,27
0.2,3,8,2,151,7,12,27
0.2,3,8,3,153,7,12,27
0.2,3,9,0,25,5,7,25
0.2,3,9,1,34,5,8,25
0.2,3,9,2,71,5,8,25
0.2,3,9,3,71,5,8,25
0.2,3,10,0,11,3,4,25
0.2,3,10,1,22,3,5,25
0.2,3,10,2,62,3,5,25
0.2,3,10,3,62,3,5,25
0.2,4,5,0,2165,10,20,29
0.2,4,5,1,5000,0,1,23
0.2,4,5,2,5000,0,0,0
0.2,4,5,3,5000,0,0,0
0.2,4,6,0,1717,10,19,29
0.2,4,6,1,5000,10,18,29
0.2,4,6,2,5000,0,0,0
0.2,4,6,3,5000,0,0,0
0.2,4,7,0,102,7,13,28
0.2,4,7,1,1042,7,14,28
0.2,4,7,2,5000,1,3,24
0.2,4,7,3,-1,1,3,24
0.2,4,8,0,57,7,12,27
0.2,4,8,1,555,7,13,27
0.2,4,8,2,-1,7,13,27
0.2,4,8,3,-1,7,13,27
0.2,4,9,0,34,6,9,26
0.2,4,9,1,59,6,10,26
0.2,4,9,2,171,7,12,27
0.2,4,9,3,178,7,13,27
0.2,4,10,0,19,5,7,23
0.2,4,10,1,57,6,10,26
0.2,4,10,2,167,7,12,27
0.2,4,10,3,174,7,13,27
0.2,5,5,0,-1,7,13,27
0.2,5,5,1,3557,10,20,29
0.2,5,5,2,5000,8,16,27
0.2,5,5,3,5000,6,13,27
0.2,5,6,0,1724,10,19,29
