min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,51,6,17,43
0.1,1,5,1,1604,7,19,43
0.1,1,5,2,3000,5,15,43
0.1,1,5,3,3000,4,8,43
0.1,1,6,0,45,6,16,43
0.1,1,6,1,524,7,19,43
0.1,1,6,2,1708,7,20,43
0.1,1,6,3,3000,6,17,44
0.1,1,7,0,41,6,15,43
0.1,1,7,1,167,7,17,43
0.1,1,7,2,171,7,17,43
0.1,1,7,3,231,8,19,43
0.1,1,8,0,30,4,10,43
0.1,1,8,1,132,5,12,43
0.1,1,8,2,138,5,12,43
0.1,1,8,3,204,7,15,43
0.1,1,9,0,30,4,10,43
0.1,1,9,1,132,5,12,43
0.1,1,9,2,138,5,12,43
0.1,1,9,3,160,7,15,43
0.1,1,10,0,18,3,8,43
0.1,1,10,1,19,3,9,43
0.1,1,10,2,19,3,9,43
0.1,1,10,3,22,4,11,43
0.1,2,5,0,92,7,22,43
0.1,2,5,1,183,8,23,43
0.1,2,5,2,1129,8,23,43
0.1,2,5,3,3000,6,21,44
0.1,2,6,0,34,6,19,43
0.1,2,6,1,36,7,20,43
0.1,2,6,2,45,7,20,43
0.1,2,6,3,71,8,22,44
0.1,2,7,0,29,6,16,43
0.1,2,7,1,31,7,17,43
0.1,2,7,2,34,7,17,43
0.1,2,7,3,43,8,20,44
0.1,2,8,0,22,4,11,43
0.1,2,8,1,24,5,12,43
0.1,2,8,2,26,5,12,43
0.1,2,8,3,38,7,16,44
0.1,2,9,0,21,4,10,43
0.1,2,9,1,22,5,11,43
0.1,2,9,2,22,5,11,43
0.1,2,9,3,28,6,13,43
0.1,2,10,0,18,3,8,43
0.1,2,10,1,20,4,10,43
0.1,2,10,2,20,4,10,43
0.1,2,10,3,23,5,12,43
0.1,3,5,0,473,10,26,44
0.1,3,5,1,2962,11,30,44
0.1,3,5,2,3000,9,26,44
0.1,3,5,3,3000,4,10,43
0.1,3,6,0,123,9,20,43
0.1,3,6,1,209,10,22,43
0.1,3,6,2,390,10,22,43
0.1,3,6,3,3000,10,23,43
0.1,3,7,0,115,9,19,43
0.1,3,7,1,116,10,20,43
0.1,3,7,2,118,10,20,43
0.1,3,7,3,141,10,21,43
0.1,3,8,0,96,9,19,43
0.1,3,8,1,97,10,20,43
0.1,3,8,2,100,10,20,43
0.1,3,8,3,127,10,21,43
0.1,3,9,0,25,6,12,43
0.1,3,9,1,89,8,15,43
0.1,3,9,2,92,8,15,43
0.1,3,9,3,121,9,17,43
0.1,3,10,0,19,4,9,43
0.1,3,10,1,21,5,11,43
0.1,3,10,2,21,5,11,43
0.1,3,10,3,24,6,13,43
0.1,4,5,0,190,9,22,43
0.1,4,5,1,1859,9,24,43
0.1,4,5,2,3000,6,17,43
0.1,4,5,3,3000,2,5,43
0.1,4,6,0,51,9,22,43
0.1,4,6,1,181,9,22,43
0.1,4,6,2,188,9,22,43
0.1,4,6,3,260,10,25,44
0.1,4,7,0,34,8,20,43
0.1,4,7,1,35,8,20,43
0.1,4,7,2,38,8,20,43
0.1,4,7,3,51,9,23,44
0.1,4,8,0,31,8,18,43
0.1,4,8,1,32,8,18,43
0.1,4,8,2,34,8,18,43
0.1,4,8,3,44,9,21,44
0.1,4,9,0,29,7,16,43
0.1,4,9,1,30,7,16,43
0.1,4,9,2,32,7,16,43
0.1,4,9,3,37,8,18,43
0.1,4,10,0,26,6,14,43
0.1,4,10,1,28,6,15,43
0.1,4,10,2,30,6,15,43
0.1,4,10,3,34,7,17,43
0.1,5,5,0,1473,10,24,44
0.1,5,5,1,3000,6,12,44
0.1,5,5,2,3000,4,8,43
0.1,5,5,3,3000,0,2,43
0.1,5,6,0,87,9,20,43
0.1,5,6,1,1607,10,22,43
0.1,5,6,2,3000,6,17,43
0.1,5,6,3,3000,4,8,43
0.1,5,7,0,45,8,18,43
0.1,5,7,1,274,9,19,43
0.1,5,7,2,771,9,19,43
0.1,5,7,3,3000,10,23,44
0.1,5,8,0,34,8,18,43
0.1,5,8,1,66,9,19,43
0.1,5,8,2,88,9,19,43
0.1,5,8,3,207,10,23,44
0.1,5,9,0,25,7,15,43
0.1,5,9,1,35,7,16,43
0.1,5,9,2,41,7,16,43
0.1,5,9,3,75,9,21,44
0.1,5,10,0,23,7,14,43
0.1,5,10,1,32,7,15,43
0.1,5,10,2,36,7,15,43
0.1,5,10,3,47,8,18,43
0.2,1,5,0,51,6,17,43
0.2,1,5,1,1605,7,19,43
0.2,1,5,2,3000,5,15,43
0.2,1,5,3,3000,4,8,43
0.2,1,6,0,45,6,16,43
0.2,1,6,1,524,7,19,43
0.2,1,6,2,1708,7,20,43
0.2,1,6,3,3000,6,17,44
0.2,1,7,0,41,6,15,43
0.2,1,7,1,167,7,17,43
0.2,1,7,2,171,7,17,43
0.2,1,7,3,231,8,19,43
0.2,1,8,0,30,4,10,43
0.2,1,8,1,132,5,12,43
0.2,1,8,2,138,5,12,43
0.2,1,8,3,204,7,15,43
0.2,1,9,0,18,3,8,43
0.2,1,9,1,19,3,9,43
0.2,1,9,2,19,3,9,43
0.2,1,9,3,22,4,11,43
0.2,1,10,0,18,3,8,43
0.2,1,10,1,19,3,9,43
0.2,1,10,2,19,3,9,43
0.2,1,10,3,22,4,11,43
0.2,2,5,0,2121,9,27,44
0.2,2,5,1,2909,9,27,44
0.2,2,5,2,3000,8,24,44
0.2,2,5,3,3000,5,13,44
0.2,2,6,0,169,7,22,44
0.2,2,6,1,2814,9,27,44
0.2,2,6,2,3000,9,25,44
0.2,2,6,3,3000,5,13,44
0.2,2,7,0,53,7,20,44
0.2,2,7,1,179,8,22,44
0.2,2,7,2,183,8,22,44
0.2,2,7,3,248,9,24,44
0.2,2,8,0,29,5,16,43
0.2,2,8,1,31,5,17,43
0.2,2,8,2,34,5,17,43
0.2,2,8,3,42,6,20,44
0.2,2,9,0,20,3,10,43
0.2,2,9,1,24,3,13,43
0.2,2,9,2,26,3,13,43
0.2,2,9,3,32,4,15,43
0.2,2,10,0,19,3,10,43
0.2,2,10,1,21,3,11,43
0.2,2,10,2,23,3,11,43
0.2,2,10,3,28,4,13,43
0.2,3,5,0,2360,10,28,44
0.2,3,5,1,3000,10,27,44
0.2,3,5,2,3000,6,20,44
0.2,3,5,3,3000,4,10,43
0.2,3,6,0,410,8,23,44
0.2,3,6,1,3000,10,27,44
0.2,3,6,2,3000,6,20,44
0.2,3,6,3,3000,4,10,43
0.2,3,7,0,53,7,20,44
0.2,3,7,1,545,7,20,44
0.2,3,7,2,762,7,20,44
0.2,3,7,3,949,7,21,44
0.2,3,8,0,47,7,16,43
0.2,3,8,1,541,7,18,43
0.2,3,8,2,758,7,18,43
0.2,3,8,3,943,7,19,43
0.2,3,9,0,28,7,15,43
0.2,3,9,1,56,7,18,43
0.2,3,9,2,67,7,18,43
0.2,3,9,3,79,7,19,43
0.2,3,10,0,21,5,12,43
0.2,3,10,1,25,5,14,43
0.2,3,10,2,26,5,14,43
0.2,3,10,3,27,5,15,43
0.2,4,5,0,2153,10,29,44
0.2,4,5,1,3000,11,29,44
0.2,4,5,2,3000,7,19,44
0.2,4,5,3,3000,4,10,43
0.2,4,6,0,1135,9,22,43
0.2,4,6,1,2501,10,26,43
0.2,4,6,2,3000,10,25,43
0.2,4,6,3,3000,5,12,43
0.2,4,7,0,127,7,18,43
0.2,4,7,1,2155,10,26,43
0.2,4,7,2,3000,10,25,43
0.2,4,7,3,3000,5,12,43
0.2,4,8,0,37,7,16,43
0.2,4,8,1,52,8,19,43
0.2,4,8,2,104,8,19,43
0.2,4,8,3,325,8,20,43
0.2,4,9,0,36,7,16,43
0.2,4,9,1,43,8,17,43
0.2,4,9,2,77,8,17,43
0.2,4,9,3,251,8,18,43
0.2,4,10,0,25,6,13,43
0.2,4,10,1,30,7,14,43
0.2,4,10,2,48,7,14,43
0.2,4,10,3,103,7,15,43
0.2,5,5,0,1417,9,24,43
0.2,5,5,1,3000,4,10,43
0.2,5,5,2,3000,2,6,43
0.2,5,5,3,3000,2,5,43
0.2,5,6,0,283,8,22,43
0.2,5,6,1,2802,11,28,43
0.2,5,6,2,3000,6,16,43
0.2,5,6,3,3000,4,10,43
0.2,5,7,0,231,8,19,43
0.2,5,7,1,2030,11,25,43
0.2,5,7,2,3000,7,19,43
0.2,5,7,3,3000,5,11,44
0.2,5,8,0,55,7,18,43
0.2,5,8,1,512,10,24,43
0.2,5,8,2,1409,10,24,43
0.2,5,8,3,3000,6,20,44
0.2,5,9,0,43,7,18,43
0.2,5,9,1,204,9,21,43
0.2,5,9,2,491,9,21,43
0.2,5,9,3,3000,9,22,43
0.2,5,10,0,32,7,18,43
0.2,5,10,1,36,7,18,43
0.2,5,10,2,49,7,18,43
0.2,5,10,3,70,7,19,43
0.3,1,5,0,51,6,17,43
0.3,1,5,1,1605,7,19,43
0.3,1,5,2,3000,5,15,43
0.3,1,5,3,3000,4,8,43
0.3,1,6,0,45,6,16,43
0.3,1,6,1,524,7,19,43
0.3,1,6,2,1708,7,20,43
0.3,1,6,3,3000,6,17,44
0.3,1,7,0,41,6,15,43
0.3,1,7,1,167,7,17,43
0.3,1,7,2,171,7,17,43
0.3,1,7,3,231,8,19,43
0.3,1,8,0,30,4,10,43
0.3,1,8,1,132,5,12,43
0.3,1,8,2,138,5,12,43
0.3,1,8,3,204,7,15,43
0.3,1,9,0,30,4,10,43
0.3,1,9,1,132,5,12,43
0.3,1,9,2,138,5,12,43
0.3,1,9,3,160,7,15,43
0.3,1,10,0,18,3,8,43
0.3,1,10,1,19,3,9,43
0.3,1,10,2,19,3,9,43
0.3,1,10,3,22,4,11,43
0.3,2,5,0,2121,9,27,44
0.3,2,5,1,2909,9,27,44
0.3,2,5,2,3000,8,24,44
0.3,2,5,3,3000,5,13,44
0.3,2,6,0,169,7,22,44
0.3,2,6,1,2814,9,27,44
0.3,2,6,2,3000,9,25,44
0.3,2,6,3,3000,5,13,44
0.3,2,7,0,126,7,18,43
0.3,2,7,1,2137,9,25,43
0.3,2,7,2,3000,9,24,43
0.3,2,7,3,3000,5,12,43
0.3,2,8,0,33,6,15,43
0.3,2,8,1,35,6,17,43
0.3,2,8,2,35,6,17,43
0.3,2,8,3,39,6,18,43
0.3,2,9,0,31,6,14,43
0.3,2,9,1,32,6,15,43
0.3,2,9,2,32,6,15,43
0.3,2,9,3,35,6,16,43
0.3,2,10,0,31,6,14,43
0.3,2,10,1,32,6,15,43
0.3,2,10,2,32,6,15,43
0.3,2,10,3,35,6,16,43
0.3,3,5,0,2262,9,27,44
0.3,3,5,1,3000,5,12,44
0.3,3,5,2,3000,4,9,43
0.3,3,5,3,3000,2,5,43
0.3,3,6,0,1395,9,24,44
0.3,3,6,1,3000,6,16,44
0.3,3,6,2,3000,3,7,43
0.3,3,6,3,3000,4,8,43
0.3,3,7,0,259,7,18,43
0.3,3,7,1,3000,7,19,43
0.3,3,7,2,3000,5,11,43
0.3,3,7,3,3000,4,8,43
0.3,3,8,0,50,6,17,43
0.3,3,8,1,1127,7,19,43
0.3,3,8,2,3000,5,14,43
0.3,3,8,3,3000,4,8,43
0.3,3,9,0,27,5,14,43
0.3,3,9,1,150,5,15,43
0.3,3,9,2,2187,5,15,43
0.3,3,9,3,3000,6,18,44
0.3,3,10,0,26,5,13,43
0.3,3,10,1,49,5,14,43
0.3,3,10,2,65,5,14,43
0.3,3,10,3,90,6,16,43
0.3,4,5,0,2576,10,30,44
0.3,4,5,1,3000,5,12,44
0.3,4,5,2,3000,4,9,43
0.3,4,5,3,3000,0,2,43
0.3,4,6,0,545,8,23,43
0.3,4,6,1,3000,6,15,43
0.3,4,6,2,3000,4,9,43
0.3,4,6,3,3000,2,5,43
0.3,4,7,0,240,7,21,43
0.3,4,7,1,3000,7,22,43
0.3,4,7,2,3000,5,11,43
0.3,4,7,3,3000,2,6,43
0.3,4,8,0,50,7,21,43
0.3,4,8,1,2920,8,24,43
0.3,4,8,2,3000,6,13,43
0.3,4,8,3,3000,4,10,43
0.3,4,9,0,38,7,16,43
0.3,4,9,1,1342,7,20,43
0.3,4,9,2,2924,7,20,43
0.3,4,9,3,3000,3,9,43
0.3,4,10,0,30,6,15,43
0.3,4,10,1,524,6,16,43
0.3,4,10,2,1518,6,16,43
0.3,4,10,3,3000,5,13,43
0.3,5,5,0,3000,10,23,43
0.3,5,5,1,3000,6,13,43
0.3,5,5,2,3000,4,9,43
0.3,5,5,3,3000,0,0,0
0.3,5,6,0,1470,10,24,43
0.3,5,6,1,3000,7,23,43
0.3,5,6,2,3000,6,14,44
0.3,5,6,3,3000,2,6,43
0.3,5,7,0,465,9,20,43
0.3,5,7,1,2921,10,23,43
0.3,5,7,2,3000,7,19,44
0.3,5,7,3,3000,4,8,43
0.3,5,8,0,172,9,20,43
0.3,5,8,1,2445,10,23,43
0.3,5,8,2,3000,7,18,43
0.3,5,8,3,3000,4,8,43
0.3,5,9,0,72,9,18,43
0.3,5,9,1,1336,10,21,43
0.3,5,9,2,2932,10,21,43
0.3,5,9,3,3000,4,8,43
0.3,5,10,0,26,6,15,43
0.3,5,10,1,522,9,19,43
0.3,5,10,2,1529,9,19,43
0.3,5,10,3,3000,6,14,43
0.4,1,5,0,51,6,17,43
0.4,1,5,1,1605,7,19,43
0.4,1,5,2,3000,5,15,43
0.4,1,5,3,3000,4,8,43
0.4,1,6,0,45,6,16,43
0.4,1,6,1,524,7,19,43
0.4,1,6,2,1708,7,20,43
0.4,1,6,3,3000,6,17,44
0.4,1,7,0,41,6,15,43
0.4,1,7,1,167,7,17,43
0.4,1,7,2,171,7,17,43
0.4,1,7,3,231,8,19,43
0.4,1,8,0,30,4,10,43
0.4,1,8,1,132,5,12,43
0.4,1,8,2,138,5,12,43
0.4,1,8,3,204,7,15,43
0.4,1,9,0,18,3,8,43
0.4,1,9,1,19,3,9,43
0.4,1,9,2,19,3,9,43
0.4,1,9,3,22,4,11,43
0.4,1,10,0,18,3,8,43
0.4,1,10,1,19,3,9,43
0.4,1,10,2,19,3,9,43
0.4,1,10,3,22,4,11,43
0.4,2,5,0,269,7,18,43
0.4,2,5,1,859,7,19,43
0.4,2,5,2,3000,9,21,43
0.4,2,5,3,3000,5,11,44
0.4,2,6,0,221,7,18,43
0.4,2,6,1,704,7,19,43
0.4,2,6,2,2526,9,22,43
0.4,2,6,3,3000,5,11,44
0.4,2,7,0,152,7,17,43
0.4,2,7,1,574,7,18,43
0.4,2,7,2,2145,9,21,43
0.4,2,7,3,3000,5,10,43
0.4,2,8,0,63,5,11,43
0.4,2,8,1,172,5,11,43
0.4,2,8,2,1015,5,11,43
0.4,2,8,3,3000,4,8,43
0.4,2,9,0,42,4,10,43
0.4,2,9,1,170,5,11,43
0.4,2,9,2,948,5,11,43
0.4,2,9,3,3000,4,8,43
0.4,2,10,0,35,4,10,43
0.4,2,10,1,113,5,11,43
0.4,2,10,2,617,5,11,43
0.4,2,10,3,3000,3,10,43
0.4,3,5,0,146,9,25,43
0.4,3,5,1,1043,9,25,43
0.4,3,5,2,3000,9,24,43
0.4,3,5,3,3000,4,10,43
0.4,3,6,0,111,8,21,43
0.4,3,6,1,736,8,21,43
0.4,3,6,2,2869,8,21,43
0.4,3,6,3,3000,3,9,43
0.4,3,7,0,90,7,20,43
0.4,3,7,1,427,7,20,43
0.4,3,7,2,1517,7,20,43
0.4,3,7,3,3000,5,13,44
0.4,3,8,0,62,6,14,43
0.4,3,8,1,256,6,14,43
0.4,3,8,2,943,6,15,43
0.4,3,8,3,3000,5,14,43
0.4,3,9,0,57,6,12,43
0.4,3,9,1,234,6,12,43
0.4,3,9,2,832,6,13,43
0.4,3,9,3,3000,5,12,43
0.4,3,10,0,49,6,12,43
0.4,3,10,1,170,6,12,43
0.4,3,10,2,634,6,13,43
0.4,3,10,3,3000,4,12,43
0.4,4,5,0,2346,10,26,43
0.4,4,5,1,-1,10,26,43
0.4,4,5,2,-1,10,26,43
0.4,4,5,3,3000,0,0,0
0.4,4,6,0,317,9,22,43
0.4,4,6,1,1713,9,23,43
0.4,4,6,2,3000,6,19,43
0.4,4,6,3,3000,1,5,43
0.4,4,7,0,187,8,21,43
0.4,4,7,1,899,8,22,43
0.4,4,7,2,2767,8,22,43
0.4,4,7,3,3000,3,9,43
0.4,4,8,0,73,6,14,43
0.4,4,8,1,280,6,14,43
0.4,4,8,2,1081,6,15,43
0.4,4,8,3,3000,5,11,43
0.4,4,9,0,57,6,12,43
0.4,4,9,1,258,6,12,43
0.4,4,9,2,970,6,13,43
0.4,4,9,3,3000,5,9,43
0.4,4,10,0,49,6,12,43
