min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,261,4,17,43
0.1,1,5,1,1063,5,19,44
0.1,1,5,2,3000,6,20,44
0.1,1,5,3,3000,4,9,44
0.1,1,6,0,261,4,17,43
0.1,1,6,1,1063,5,19,44
0.1,1,6,2,2691,6,20,44
0.1,1,6,3,3000,5,14,44
0.1,1,7,0,166,3,16,43
0.1,1,7,1,166,3,16,43
0.1,1,7,2,171,4,17,43
0.1,1,7,3,176,4,17,43
0.1,1,8,0,33,0,3,43
0.1,1,8,1,33,0,3,43
0.1,1,8,2,131,4,17,43
0.1,1,8,3,168,4,17,43
0.1,1,9,0,5,0,3,43
0.1,1,9,1,33,0,3,43
0.1,1,9,2,131,4,17,43
0.1,1,9,3,168,4,17,43
0.1,1,10,0,5,0,3,43
0.1,1,10,1,33,0,3,43
0.1,1,10,2,126,4,15,43
0.1,1,10,3,164,4,15,43
0.1,2,5,0,356,5,18,43
0.1,2,5,1,3000,6,22,44
0.1,2,5,2,3000,6,22,44
0.1,2,5,3,3000,3,5,43
0.1,2,6,0,267,5,18,43
0.1,2,6,1,1118,6,20,44
0.1,2,6,2,3000,6,20,44
0.1,2,6,3,3000,4,10,44
0.1,2,7,0,210,4,13,43
0.1,2,7,1,935,5,16,44
0.1,2,7,2,2273,6,20,44
0.1,2,7,3,3000,5,15,44
0.1,2,8,0,135,3,12,43
0.1,2,8,1,153,3,13,43
0.1,2,8,2,170,4,17,43
0.1,2,8,3,175,4,17,43
0.1,2,9,0,32,1,4,43
0.1,2,9,1,34,1,4,43
0.1,2,9,2,129,4,16,43
0.1,2,9,3,166,4,16,43
0.1,2,10,0,31,0,3,43
0.1,2,10,1,33,0,3,43
0.1,2,10,2,127,4,15,43
0.1,2,10,3,165,4,15,43
0.1,3,5,0,840,10,28,44
0.1,3,5,1,3000,9,28,44
0.1,3,5,2,3000,3,6,43
0.1,3,5,3,3000,0,0,0
0.1,3,6,0,342,6,19,44
0.1,3,6,1,792,6,21,44
0.1,3,6,2,3000,3,8,43
0.1,3,6,3,3000,0,0,0
0.1,3,7,0,214,5,17,44
0.1,3,7,1,611,5,19,44
0.1,3,7,2,3000,3,8,43
0.1,3,7,3,3000,0,0,0
0.1,3,8,0,107,5,17,44
0.1,3,8,1,138,5,17,44
0.1,3,8,2,456,6,19,44
0.1,3,8,3,1263,6,19,44
0.1,3,9,0,51,4,15,43
0.1,3,9,1,77,4,15,43
0.1,3,9,2,253,6,18,44
0.1,3,9,3,816,6,18,44
0.1,3,10,0,21,2,10,43
0.1,3,10,1,34,2,10,43
0.1,3,10,2,230,4,14,44
0.1,3,10,3,792,4,14,44
0.1,4,5,0,964,9,24,44
0.1,4,5,1,3000,9,25,44
0.1,4,5,2,3000,6,17,44
0.1,4,5,3,3000,4,9,43
0.1,4,6,0,742,7,20,44
0.1,4,6,1,1145,7,21,44
0.1,4,6,2,3000,5,16,44
0.1,4,6,3,3000,3,7,43
0.1,4,7,0,316,6,19,43
0.1,4,7,1,604,6,19,43
0.1,4,7,2,3000,7,20,44
0.1,4,7,3,3000,5,14,44
0.1,4,8,0,126,5,16,43
0.1,4,8,1,274,5,16,43
0.1,4,8,2,1605,7,19,44
0.1,4,8,3,3000,7,19,44
0.1,4,9,0,56,5,16,43
0.1,4,9,1,178,5,16,43
0.1,4,9,2,724,7,19,44
0.1,4,9,3,3000,7,19,44
0.1,4,10,0,38,4,12,43
0.1,4,10,1,92,4,12,43
0.1,4,10,2,278,5,15,44
0.1,4,10,3,984,5,16,44
0.1,5,5,0,804,10,26,44
0.1,5,5,1,1605,12,32,44
0.1,5,5,2,3000,4,10,43
0.1,5,5,3,3000,3,5,43
0.1,5,6,0,785,10,26,44
0.1,5,6,1,1115,11,31,44
0.1,5,6,2,3000,9,26,44
0.1,5,6,3,3000,5,13,44
0.1,5,7,0,234,7,19,43
0.1,5,7,1,439,7,21,43
0.1,5,7,2,2742,8,22,44
0.1,5,7,3,3000,6,17,44
0.1,5,8,0,105,7,18,43
0.1,5,8,1,274,7,19,43
0.1,5,8,2,1287,8,20,44
0.1,5,8,3,3000,8,21,44
0.1,5,9,0,73,6,17,43
0.1,5,9,1,190,6,17,43
0.1,5,9,2,709,7,18,44
0.1,5,9,3,2333,7,19,44
0.1,5,10,0,41,5,15,43
0.1,5,10,1,85,5,15,43
0.1,5,10,2,252,6,16,44
0.1,5,10,3,952,6,17,44
0.2,1,5,0,261,4,17,43
0.2,1,5,1,1063,5,19,44
0.2,1,5,2,3000,6,20,44
0.2,1,5,3,3000,4,9,44
0.2,1,6,0,261,4,17,43
0.2,1,6,1,1063,5,19,44
0.2,1,6,2,2691,6,20,44
0.2,1,6,3,3000,5,14,44
0.2,1,7,0,166,3,16,43
0.2,1,7,1,166,3,16,43
0.2,1,7,2,171,4,17,43
0.2,1,7,3,176,4,17,43
0.2,1,8,0,33,0,3,43
0.2,1,8,1,33,0,3,43
0.2,1,8,2,131,4,17,43
0.2,1,8,3,168,4,17,43
0.2,1,9,0,5,0,3,43
0.2,1,9,1,33,0,3,43
0.2,1,9,2,131,4,17,43
0.2,1,9,3,168,4,17,43
0.2,1,10,0,5,0,3,43
0.2,1,10,1,33,0,3,43
0.2,1,10,2,126,4,15,43
0.2,1,10,3,164,4,15,43
0.2,2,5,0,359,5,22,44
0.2,2,5,1,401,5,22,44
0.2,2,5,2,543,5,22,44
0.2,2,5,3,593,5,22,44
0.2,2,6,0,312,5,22,44
0.2,2,6,1,384,5,22,44
0.2,2,6,2,519,5,22,44
0.2,2,6,3,566,5,22,44
0.2,2,7,0,246,3,19,43
0.2,2,7,1,260,3,19,43
0.2,2,7,2,270,4,20,43
0.2,2,7,3,277,4,20,43
0.2,2,8,0,80,2,17,43
0.2,2,8,1,203,3,18,43
0.2,2,8,2,209,4,19,43
0.2,2,8,3,216,4,19,43
0.2,2,9,0,18,0,6,43
0.2,2,9,1,83,0,7,43
0.2,2,9,2,85,1,8,43
0.2,2,9,3,88,1,8,43
0.2,2,10,0,8,0,5,43
0.2,2,10,1,46,0,6,43
0.2,2,10,2,48,1,7,43
0.2,2,10,3,50,1,7,43
0.2,3,5,0,515,8,27,44
0.2,3,5,1,1334,8,27,44
0.2,3,5,2,3000,8,26,44
0.2,3,5,3,3000,5,13,44
0.2,3,6,0,330,5,23,43
0.2,3,6,1,331,5,23,43
0.2,3,6,2,341,6,24,43
0.2,3,6,3,352,6,24,43
0.2,3,7,0,267,5,22,43
0.2,3,7,1,318,5,23,43
