min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,90,1,5,23
0.1,1,5,1,5000,1,1,23
0.1,1,5,2,-1,1,1,23
0.1,1,5,3,5000,0,0,0
0.1,1,6,0,6,1,2,23
0.1,1,6,1,112,3,5,23
0.1,1,6,2,134,3,5,23
0.1,1,6,3,142,3,5,23
0.1,1,7,0,1,0,0,0
0.1,1,7,1,105,3,5,23
0.1,1,7,2,124,3,5,23
0.1,1,7,3,132,3,5,23
0.1,1,8,0,1,0,0,0
0.1,1,8,1,88,3,5,23
0.1,1,8,2,117,3,5,23
0.1,1,8,3,125,3,5,23
0.1,1,9,0,0,0,0,0
0.1,1,9,1,18,2,2,23
0.1,1,9,2,19,2,2,23
0.1,1,9,3,20,2,2,23
0.1,1,10,0,0,0,0,0
0.1,1,10,1,10,2,2,23
0.1,1,10,2,13,2,2,23
0.1,1,10,3,14,2,2,23
0.1,2,5,0,41,5,11,26
0.1,2,5,1,1388,6,15,26
0.1,2,5,2,2080,6,17,27
0.1,2,5,3,2378,6,17,27
0.1,2,6,0,16,4,6,23
0.1,2,6,1,462,5,7,25
0.1,2,6,2,991,5,8,26
0.1,2,6,3,1357,5,9,26
0.1,2,7,0,11,4,6,23
0.1,2,7,1,287,5,7,25
0.1,2,7,2,743,5,8,26
0.1,2,7,3,995,5,9,26
0.1,2,8,0,7,4,5,23
0.1,2,8,1,215,5,6,25
0.1,2,8,2,636,5,6,25
0.1,2,8,3,942,5,8,25
0.1,2,9,0,7,4,5,23
0.1,2,9,1,210,5,6,25
0.1,2,9,2,631,5,6,25
0.1,2,9,3,936,5,8,25
0.1,2,10,0,6,4,5,23
0.1,2,10,1,74,4,5,23
0.1,2,10,2,520,5,6,25
0.1,2,10,3,736,5,8,25
0.1,3,5,0,72,5,10,28
0.1,3,5,1,831,7,17,28
0.1,3,5,2,1321,7,18,29
0.1,3,5,3,1486,7,18,29
0.1,3,6,0,32,5,8,25
0.1,3,6,1,306,7,12,27
0.1,3,6,2,667,7,12,27
0.1,3,6,3,888,7,13,27
0.1,3,7,0,19,3,4,23
0.1,3,7,1,206,6,8,26
0.1,3,7,2,541,6,9,26
0.1,3,7,3,805,6,11,26
0.1,3,8,0,11,3,4,23
0.1,3,8,1,79,5,7,24
0.1,3,8,2,441,6,8,26
0.1,3,8,3,634,6,10,26
0.1,3,9,0,11,3,4,23
0.1,3,9,1,78,5,7,24
0.1,3,9,2,440,6,8,26
0.1,3,9,3,633,6,10,26
0.1,3,10,0,4,2,2,23
0.1,3,10,1,42,4,5,24
0.1,3,10,2,272,4,5,24
0.1,3,10,3,540,5,9,26
0.1,4,5,0,117,5,5,24
0.1,4,5,1,5000,0,0,0
0.1,4,5,2,5000,0,0,0
0.1,4,5,3,5000,0,0,0
0.1,4,6,0,19,5,5,24
0.1,4,6,1,1043,6,10,26
0.1,4,6,2,2726,6,11,26
0.1,4,6,3,4451,6,12,26
0.1,4,7,0,9,5,5,24
0.1,4,7,1,234,6,9,26
0.1,4,7,2,657,6,10,26
0.1,4,7,3,1103,6,10,26
0.1,4,8,0,5,3,3,23
0.1,4,8,1,35,4,6,24
0.1,4,8,2,51,4,6,24
0.1,4,8,3,69,4,7,24
0.1,4,9,0,4,2,2,23
0.1,4,9,1,19,3,5,24
0.1,4,9,2,34,3,5,24
0.1,4,9,3,51,3,6,24
0.1,4,10,0,2,0,0,0
0.1,4,10,1,5,3,3,24
0.1,4,10,2,6,3,3,24
0.1,4,10,3,8,3,4,24
0.1,5,5,0,108,5,10,28
0.1,5,5,1,2211,6,18,29
0.1,5,5,2,4016,6,18,29
0.1,5,5,3,4853,6,18,29
0.1,5,6,0,81,5,10,28
0.1,5,6,1,1903,6,18,29
0.1,5,6,2,3095,6,18,29
0.1,5,6,3,3827,6,18,29
0.1,5,7,0,65,4,9,28
0.1,5,7,1,1346,4,15,29
0.1,5,7,2,1350,4,16,29
0.1,5,7,3,1384,4,16,29
0.1,5,8,0,14,3,5,23
0.1,5,8,1,203,4,8,24
0.1,5,8,2,221,4,9,24
0.1,5,8,3,241,4,9,24
0.1,5,9,0,9,3,5,23
0.1,5,9,1,117,4,8,24
0.1,5,9,2,181,4,8,24
0.1,5,9,3,202,4,8,24
0.1,5,10,0,7,3,4,23
0.1,5,10,1,10,4,5,24
0.1,5,10,2,15,4,5,24
0.1,5,10,3,19,4,6,24
0.2,1,5,0,90,1,5,23
0.2,1,5,1,5000,1,1,23
0.2,1,5,2,5000,0,0,0
0.2,1,5,3,5000,0,0,0
0.2,1,6,0,6,1,2,23
0.2,1,6,1,112,3,5,23
0.2,1,6,2,134,3,5,23
0.2,1,6,3,142,3,5,23
0.2,1,7,0,1,0,0,0
0.2,1,7,1,105,3,5,23
0.2,1,7,2,124,3,5,23
0.2,1,7,3,132,3,5,23
0.2,1,8,0,1,0,0,0
0.2,1,8,1,88,3,5,23
0.2,1,8,2,117,3,5,23
0.2,1,8,3,125,3,5,23
0.2,1,9,0,0,0,0,0
0.2,1,9,1,18,2,2,23
